"Knowledge Graph of Top U-22 Players in Europe’s Top Five Football Leagues

A Neo4j-Based Data Graph for Talent Analysis and Scouting";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;NAME;;;PLAYER ID;;;League;;;Club;;;Age;;;Position;;;Country;;;preferred foot;;;Height;;;Market value;;;Migratory Background ;;;Properties ;;;;;;;;;;;;;;;;;
1;;Fin Jeltsch;;;1;;;1;;;VfB Stuttgart;;;18;;;CB;;;GERMANY ;;;RIGHT;;;188;;;20M;;;GERMAN OROIGIN ;;;"
Building from the back 
Press resistance 
Physical strength 
Multi-directional press resistance 
Off-ball defence awareness
Tackle timing
Angle interpretation 
Pace control from the defence 
Psychological composure 
Tactical adaptability
Anticipation and build-up style  ";;;;;;;;;;;;;;;;;
2;;El Chadaille Bitshiabu;;;2;;;1;;;RB Leipzig;;;20;;;CB;;;FRANCE ;;;LEFT;;;1.96;;;15M;;;2ND GENERATION MIGRANT ;;;"Physical strength
Long-passing ability
Aerial domination
Ball-playing centre-back
Recovery pace
Defensive duels
Left-side build-up";;;;;;;;;;;;;;;;;
3;;Konstantinos Koulierakis;;;3;;;1;;;VfL Wolfsburg;;;21;;;CB;;;GREECE;;;LEFT;;;1.88;;;25M;;;GREEK ORIGIN;;;"High pass-completion rate 
Tactical-positioning 
Ground-dules 
Long-ball building 
Defensive reading
Physical presence ";;;;;;;;;;;;;;;;;
4;;Chema Andrés;;;4;;;1;;;VFB Stuttgart ;;;20;;;CM;;;SPAIN ;;;RIGHT;;;1.90;;;10M;;;FRANCE ORIGIN;;;"Tactical intelligence 
Vertical passes skills 
physical presence 
ball recovery 
positional discipline 
pre-receive decision-making 
scanning anticipation 
tempo-regulation dual-phase 
error tolerance- under pressure 
cold  and smart control style 
build-up transition ";;;;;;;;;;;;;;;;;
5;;Aleksandar Pavlovic;;;5;;;1;;;Bayern Munich;;;21;;;DM-CM;;;GERMANY ;;;RIGHT;;;1.88;;;55M;;;2ND GENERATION MIGRANT ;;;"Defensive capability
Passing accuracy 
High ball-recovery
Long-passing ability 
Decision-making under pressure 
Vertical risk-taking
Defensive scanning 
Positional discipline 
Tempo control ability ";;;;;;;;;;;;;;;;;
6;;Tom Bischof;;;6;;;1;;;FC Bayern Munich;;;20;;;CM;;;GERMANY ;;;LEFT;;;1.76;;;30M;;;GERMAN OROIGIN ;;;"Versatility midfield roles
Long-shot ability
Chance creation
Dribbling under pressure
Potential growth
Press resistance
Progressive passing
Ball retention
Tactical awareness";;;;;;;;;;;;;;;;;
7;;Antonio Nusa;;;7;;;1;;;RB Leipzig;;;20;;;LW;;;NORWAY;;;RIGHT;;;1.80;;;30M;;;2ND GENERATION MIGRANT ;;;"Explosive acceleration 
One-one dribbling 
Versatile wing and centre
Technical flair-creativity 
Goal scoring
Potential market value growth  
Wing penetration 
Space vacating
Deep progression 
Multi-zone Ball reception capability ";;;;;;;;;;;;;;;;;
